"Species","Name","Count"
"Dog","Sarge",16
"Dog","Dozer",16
"Dog","Shorty",16
"Dog","Dutch",16
"Dog","Cinder",16
"Dog","Izzie",16
"Dog","Phoenix",16
"Dog","Bubbles",16
"Dog","Yeti",16
"Dog","Elliott",16
"Dog","Maia",16
"Dog","Amy",16
"Dog","Wicket",16
"Dog","Thunder",15
"Dog","Edie",15
"Dog","Leela",15
"Dog","Zuko",15
"Dog","Humphrey",15
"Dog","Meg",15
"Dog","Asher",15
"Dog","Hero",15
"Dog","Titan",15
"Dog","Bingo",15
"Dog","Rizzo",15
"Dog","Keiko",15
"Dog","Pixel",15
"Dog","Ginny",15
"Dog","Larry",15
"Dog","Ike",15
"Dog","Coda",15
"Dog","Claire",15
"Dog","Lili",15
"Dog","Benson",15
"Dog","Blitz",15
"Dog","Shaggy",15
"Dog","Sookie",15
"Dog","Bosco",15
"Dog","Lando",15
"Dog","Bessie",15
"Dog","Olaf",15
"Dog","Abbie",15
"Dog","Bea",15
"Dog","Kaylee",15
"Dog","Champ",15
"Dog","Sofie",15
"Dog","Boone",15
"Dog","Paisley",15
"Dog","Nutmeg",15
"Dog","Eleanor",15
"Dog","Iris",15
"Dog","Winter",15
"Dog","Sweetie",15
"Dog","Gidget",15
"Dog","Lottie",15
"Dog","Jameson",15
"Dog","Billie",15
"Dog","Arnie",15
"Dog","Leila",15
"Dog","Lena",15
"Dog","Newton",14
"Dog","Butter",14
"Dog","Ajax",14
"Dog","Pilot",14
"Dog","Autumn",14
"Dog","Dory",14
"Dog","Timber",14
"Dog","Noodles",14
"Dog","Ruthie",14
"Dog","Otter",14
"Dog","Ivan",14
"Dog","Argos",14
"Dog","Poncho",14
"Dog","Lupe",14
"Dog","Tara",14
"Dog","Maizy",14
"Dog","Kiko",14
"Dog","Isis",14
"Dog","Paris",14
"Dog","Nani",14
"Dog","Miley",14
"Dog","Tootsie",14
"Dog","Tinkerbell",14
"Dog","Sailor",14
"Dog","Oskar",14
"Dog","Duchess",14
"Dog","Frannie",14
"Dog","Buck",14
"Dog","Tyson",14
"Dog","Marco",14
"Dog","Anna",14
"Dog","Westley",14
"Dog","Marvin",14
"Dog","Rue",14
"Dog","Artemis",14
"Dog","Hershey",14
"Dog","Henri",14
"Dog","Robbie",14
"Dog","Pippi",14
"Dog","Homer",14
"Dog","Orion",14
"Dog","Bogie",14
"Dog","Rowdy",14
"Dog","Zooey",14
"Dog","Darcy",13
